Year,CCoal,CPetroleum,CGas,CTotal,Sname
1980,0.007,5.867,14.294,20.167,alabama
1981,0.004,8.373,13.125,21.502,alabama
1982,0.004,5.588,13.123,18.714,alabama
1983,0.004,4.257,11.924,16.184,alabama
1984,0.059,5.067,10.563,15.69,alabama
1985,0.091,2.66,11.298,14.048,alabama
1986,0,3.919,10.053,13.972,alabama
1987,0.001,4.344,11.59,15.935,alabama
1988,0.011,4.029,13.559,17.598,alabama
1989,0.018,3.496,14.292,17.806,alabama
1990,0.044,3.324,15.61,18.978,alabama
1991,0.079,3.39,15.662,19.13,alabama
1992,0,1.903,15.523,17.427,alabama
1993,0.253,1.483,13.785,15.521,alabama
1994,0.308,1.443,14.168,15.918,alabama
1995,0.252,1.8,14.952,17.005,alabama
1996,0.34,1.504,12.899,14.743,alabama
1997,0.209,1.429,13.703,15.341,alabama
1998,0.228,1.719,15.814,17.761,alabama
1999,0.054,1.68,13.174,14.908,alabama
2000,0.047,1.816,12.504,14.367,alabama
2001,0,1.602,13.243,14.845,alabama
2002,0,1.344,12.887,14.232,alabama
2003,0,1.399,12.604,14.003,alabama
2004,0.016,1.57,12.533,14.118,alabama
2005,0.038,1.537,12.653,14.228,alabama
2006,0.003,1.181,13.264,14.448,alabama
2007,0,1.369,13.709,15.078,alabama
2008,0,1.928,13.688,15.616,alabama
2009,0,2.082,13.501,15.583,alabama
2010,0,2.632,13.441,16.073,alabama
2011,0,2.386,13.31,15.696,alabama
2012,0,2.208,13.703,15.911,alabama
2013,0,2.069,13.874,15.943,alabama
2014,0,2.108,12.968,15.075,alabama
2015,0,5.645,12.971,18.616,alabama
2016,0,5.852,13.017,18.869,alabama
2017,0,5.927,13.041,18.968,alabama
1980,0.007,5.867,14.294,20.167,alaska
1981,0.004,8.373,13.125,21.502,alaska
1982,0.004,5.588,13.123,18.714,alaska
1983,0.004,4.257,11.924,16.184,alaska
1984,0.059,5.067,10.563,15.69,alaska
1985,0.091,2.66,11.298,14.048,alaska
1986,0,3.919,10.053,13.972,alaska
1987,0.001,4.344,11.59,15.935,alaska
1988,0.011,4.029,13.559,17.598,alaska
1989,0.018,3.496,14.292,17.806,alaska
1990,0.044,3.324,15.61,18.978,alaska
1991,0.079,3.39,15.662,19.13,alaska
1992,0,1.903,15.523,17.427,alaska
1993,0.253,1.483,13.785,15.521,alaska
1994,0.308,1.443,14.168,15.918,alaska
1995,0.252,1.8,14.952,17.005,alaska
1996,0.34,1.504,12.899,14.743,alaska
1997,0.209,1.429,13.703,15.341,alaska
1998,0.228,1.719,15.814,17.761,alaska
1999,0.054,1.68,13.174,14.908,alaska
2000,0.047,1.816,12.504,14.367,alaska
2001,0,1.602,13.243,14.845,alaska
2002,0,1.344,12.887,14.232,alaska
2003,0,1.399,12.604,14.003,alaska
2004,0.016,1.57,12.533,14.118,alaska
2005,0.038,1.537,12.653,14.228,alaska
2006,0.003,1.181,13.264,14.448,alaska
2007,0,1.369,13.709,15.078,alaska
2008,0,1.928,13.688,15.616,alaska
2009,0,2.082,13.501,15.583,alaska
2010,0,2.632,13.441,16.073,alaska
2011,0,2.386,13.31,15.696,alaska
2012,0,2.208,13.703,15.911,alaska
2013,0,2.069,13.874,15.943,alaska
2014,0,2.108,12.968,15.075,alaska
2015,0,5.645,12.971,18.616,alaska
2016,0,5.852,13.017,18.869,alaska
2017,0,5.927,13.041,18.968,alaska
1980,0.007,5.867,14.294,20.167,arizona
1981,0.004,8.373,13.125,21.502,arizona
1982,0.004,5.588,13.123,18.714,arizona
1983,0.004,4.257,11.924,16.184,arizona
1984,0.059,5.067,10.563,15.69,arizona
1985,0.091,2.66,11.298,14.048,arizona
1986,0,3.919,10.053,13.972,arizona
1987,0.001,4.344,11.59,15.935,arizona
1988,0.011,4.029,13.559,17.598,arizona
1989,0.018,3.496,14.292,17.806,arizona
1990,0.044,3.324,15.61,18.978,arizona
1991,0.079,3.39,15.662,19.13,arizona
1992,0,1.903,15.523,17.427,arizona
1993,0.253,1.483,13.785,15.521,arizona
1994,0.308,1.443,14.168,15.918,arizona
1995,0.252,1.8,14.952,17.005,arizona
1996,0.34,1.504,12.899,14.743,arizona
1997,0.209,1.429,13.703,15.341,arizona
1998,0.228,1.719,15.814,17.761,arizona
1999,0.054,1.68,13.174,14.908,arizona
2000,0.047,1.816,12.504,14.367,arizona
2001,0,1.602,13.243,14.845,arizona
2002,0,1.344,12.887,14.232,arizona
2003,0,1.399,12.604,14.003,arizona
2004,0.016,1.57,12.533,14.118,arizona
2005,0.038,1.537,12.653,14.228,arizona
2006,0.003,1.181,13.264,14.448,arizona
2007,0,1.369,13.709,15.078,arizona
2008,0,1.928,13.688,15.616,arizona
2009,0,2.082,13.501,15.583,arizona
2010,0,2.632,13.441,16.073,arizona
2011,0,2.386,13.31,15.696,arizona
2012,0,2.208,13.703,15.911,arizona
2013,0,2.069,13.874,15.943,arizona
2014,0,2.108,12.968,15.075,arizona
2015,0,5.645,12.971,18.616,arizona
2016,0,5.852,13.017,18.869,arizona
2017,0,5.927,13.041,18.968,arizona
1980,0.007,5.867,14.294,20.167,arkansas
1981,0.004,8.373,13.125,21.502,arkansas
1982,0.004,5.588,13.123,18.714,arkansas
1983,0.004,4.257,11.924,16.184,arkansas
1984,0.059,5.067,10.563,15.69,arkansas
1985,0.091,2.66,11.298,14.048,arkansas
1986,0,3.919,10.053,13.972,arkansas
1987,0.001,4.344,11.59,15.935,arkansas
1988,0.011,4.029,13.559,17.598,arkansas
1989,0.018,3.496,14.292,17.806,arkansas
1990,0.044,3.324,15.61,18.978,arkansas
1991,0.079,3.39,15.662,19.13,arkansas
1992,0,1.903,15.523,17.427,arkansas
1993,0.253,1.483,13.785,15.521,arkansas
1994,0.308,1.443,14.168,15.918,arkansas
1995,0.252,1.8,14.952,17.005,arkansas
1996,0.34,1.504,12.899,14.743,arkansas
1997,0.209,1.429,13.703,15.341,arkansas
1998,0.228,1.719,15.814,17.761,arkansas
1999,0.054,1.68,13.174,14.908,arkansas
2000,0.047,1.816,12.504,14.367,arkansas
2001,0,1.602,13.243,14.845,arkansas
2002,0,1.344,12.887,14.232,arkansas
2003,0,1.399,12.604,14.003,arkansas
2004,0.016,1.57,12.533,14.118,arkansas
2005,0.038,1.537,12.653,14.228,arkansas
2006,0.003,1.181,13.264,14.448,arkansas
2007,0,1.369,13.709,15.078,arkansas
2008,0,1.928,13.688,15.616,arkansas
2009,0,2.082,13.501,15.583,arkansas
2010,0,2.632,13.441,16.073,arkansas
2011,0,2.386,13.31,15.696,arkansas
2012,0,2.208,13.703,15.911,arkansas
2013,0,2.069,13.874,15.943,arkansas
2014,0,2.108,12.968,15.075,arkansas
2015,0,5.645,12.971,18.616,arkansas
2016,0,5.852,13.017,18.869,arkansas
2017,0,5.927,13.041,18.968,arkansas
1980,0.007,5.867,14.294,20.167,california
1981,0.004,8.373,13.125,21.502,california
1982,0.004,5.588,13.123,18.714,california
1983,0.004,4.257,11.924,16.184,california
1984,0.059,5.067,10.563,15.69,california
1985,0.091,2.66,11.298,14.048,california
1986,0,3.919,10.053,13.972,california
1987,0.001,4.344,11.59,15.935,california
1988,0.011,4.029,13.559,17.598,california
1989,0.018,3.496,14.292,17.806,california
1990,0.044,3.324,15.61,18.978,california
1991,0.079,3.39,15.662,19.13,california
1992,0,1.903,15.523,17.427,california
1993,0.253,1.483,13.785,15.521,california
1994,0.308,1.443,14.168,15.918,california
1995,0.252,1.8,14.952,17.005,california
1996,0.34,1.504,12.899,14.743,california
1997,0.209,1.429,13.703,15.341,california
1998,0.228,1.719,15.814,17.761,california
1999,0.054,1.68,13.174,14.908,california
2000,0.047,1.816,12.504,14.367,california
2001,0,1.602,13.243,14.845,california
2002,0,1.344,12.887,14.232,california
2003,0,1.399,12.604,14.003,california
2004,0.016,1.57,12.533,14.118,california
2005,0.038,1.537,12.653,14.228,california
2006,0.003,1.181,13.264,14.448,california
2007,0,1.369,13.709,15.078,california
2008,0,1.928,13.688,15.616,california
2009,0,2.082,13.501,15.583,california
2010,0,2.632,13.441,16.073,california
2011,0,2.386,13.31,15.696,california
2012,0,2.208,13.703,15.911,california
2013,0,2.069,13.874,15.943,california
2014,0,2.108,12.968,15.075,california
2015,0,5.645,12.971,18.616,california
2016,0,5.852,13.017,18.869,california
2017,0,5.927,13.041,18.968,california
1980,0.007,5.867,14.294,20.167,colorado
1981,0.004,8.373,13.125,21.502,colorado
1982,0.004,5.588,13.123,18.714,colorado
1983,0.004,4.257,11.924,16.184,colorado
1984,0.059,5.067,10.563,15.69,colorado
1985,0.091,2.66,11.298,14.048,colorado
1986,0,3.919,10.053,13.972,colorado
1987,0.001,4.344,11.59,15.935,colorado
1988,0.011,4.029,13.559,17.598,colorado
1989,0.018,3.496,14.292,17.806,colorado
1990,0.044,3.324,15.61,18.978,colorado
1991,0.079,3.39,15.662,19.13,colorado
1992,0,1.903,15.523,17.427,colorado
1993,0.253,1.483,13.785,15.521,colorado
1994,0.308,1.443,14.168,15.918,colorado
1995,0.252,1.8,14.952,17.005,colorado
1996,0.34,1.504,12.899,14.743,colorado
1997,0.209,1.429,13.703,15.341,colorado
1998,0.228,1.719,15.814,17.761,colorado
1999,0.054,1.68,13.174,14.908,colorado
2000,0.047,1.816,12.504,14.367,colorado
2001,0,1.602,13.243,14.845,colorado
2002,0,1.344,12.887,14.232,colorado
2003,0,1.399,12.604,14.003,colorado
2004,0.016,1.57,12.533,14.118,colorado
2005,0.038,1.537,12.653,14.228,colorado
2006,0.003,1.181,13.264,14.448,colorado
2007,0,1.369,13.709,15.078,colorado
2008,0,1.928,13.688,15.616,colorado
2009,0,2.082,13.501,15.583,colorado
2010,0,2.632,13.441,16.073,colorado
2011,0,2.386,13.31,15.696,colorado
2012,0,2.208,13.703,15.911,colorado
2013,0,2.069,13.874,15.943,colorado
2014,0,2.108,12.968,15.075,colorado
2015,0,5.645,12.971,18.616,colorado
2016,0,5.852,13.017,18.869,colorado
2017,0,5.927,13.041,18.968,colorado
1980,0.007,5.867,14.294,20.167,connecticut
1981,0.004,8.373,13.125,21.502,connecticut
1982,0.004,5.588,13.123,18.714,connecticut
1983,0.004,4.257,11.924,16.184,connecticut
1984,0.059,5.067,10.563,15.69,connecticut
1985,0.091,2.66,11.298,14.048,connecticut
1986,0,3.919,10.053,13.972,connecticut
1987,0.001,4.344,11.59,15.935,connecticut
1988,0.011,4.029,13.559,17.598,connecticut
1989,0.018,3.496,14.292,17.806,connecticut
1990,0.044,3.324,15.61,18.978,connecticut
1991,0.079,3.39,15.662,19.13,connecticut
1992,0,1.903,15.523,17.427,connecticut
1993,0.253,1.483,13.785,15.521,connecticut
1994,0.308,1.443,14.168,15.918,connecticut
1995,0.252,1.8,14.952,17.005,connecticut
1996,0.34,1.504,12.899,14.743,connecticut
1997,0.209,1.429,13.703,15.341,connecticut
1998,0.228,1.719,15.814,17.761,connecticut
1999,0.054,1.68,13.174,14.908,connecticut
2000,0.047,1.816,12.504,14.367,connecticut
2001,0,1.602,13.243,14.845,connecticut
2002,0,1.344,12.887,14.232,connecticut
2003,0,1.399,12.604,14.003,connecticut
2004,0.016,1.57,12.533,14.118,connecticut
2005,0.038,1.537,12.653,14.228,connecticut
2006,0.003,1.181,13.264,14.448,connecticut
2007,0,1.369,13.709,15.078,connecticut
2008,0,1.928,13.688,15.616,connecticut
2009,0,2.082,13.501,15.583,connecticut
2010,0,2.632,13.441,16.073,connecticut
2011,0,2.386,13.31,15.696,connecticut
2012,0,2.208,13.703,15.911,connecticut
2013,0,2.069,13.874,15.943,connecticut
2014,0,2.108,12.968,15.075,connecticut
2015,0,5.645,12.971,18.616,connecticut
2016,0,5.852,13.017,18.869,connecticut
2017,0,5.927,13.041,18.968,connecticut
1980,0.007,5.867,14.294,20.167,delaware
1981,0.004,8.373,13.125,21.502,delaware
1982,0.004,5.588,13.123,18.714,delaware
1983,0.004,4.257,11.924,16.184,delaware
1984,0.059,5.067,10.563,15.69,delaware
1985,0.091,2.66,11.298,14.048,delaware
1986,0,3.919,10.053,13.972,delaware
1987,0.001,4.344,11.59,15.935,delaware
1988,0.011,4.029,13.559,17.598,delaware
1989,0.018,3.496,14.292,17.806,delaware
1990,0.044,3.324,15.61,18.978,delaware
1991,0.079,3.39,15.662,19.13,delaware
1992,0,1.903,15.523,17.427,delaware
1993,0.253,1.483,13.785,15.521,delaware
1994,0.308,1.443,14.168,15.918,delaware
1995,0.252,1.8,14.952,17.005,delaware
1996,0.34,1.504,12.899,14.743,delaware
1997,0.209,1.429,13.703,15.341,delaware
1998,0.228,1.719,15.814,17.761,delaware
1999,0.054,1.68,13.174,14.908,delaware
2000,0.047,1.816,12.504,14.367,delaware
2001,0,1.602,13.243,14.845,delaware
2002,0,1.344,12.887,14.232,delaware
2003,0,1.399,12.604,14.003,delaware
2004,0.016,1.57,12.533,14.118,delaware
2005,0.038,1.537,12.653,14.228,delaware
2006,0.003,1.181,13.264,14.448,delaware
2007,0,1.369,13.709,15.078,delaware
2008,0,1.928,13.688,15.616,delaware
2009,0,2.082,13.501,15.583,delaware
2010,0,2.632,13.441,16.073,delaware
2011,0,2.386,13.31,15.696,delaware
2012,0,2.208,13.703,15.911,delaware
2013,0,2.069,13.874,15.943,delaware
2014,0,2.108,12.968,15.075,delaware
2015,0,5.645,12.971,18.616,delaware
2016,0,5.852,13.017,18.869,delaware
2017,0,5.927,13.041,18.968,delaware
1980,0.007,5.867,14.294,20.167,district of columbia
1981,0.004,8.373,13.125,21.502,district of columbia
1982,0.004,5.588,13.123,18.714,district of columbia
1983,0.004,4.257,11.924,16.184,district of columbia
1984,0.059,5.067,10.563,15.69,district of columbia
1985,0.091,2.66,11.298,14.048,district of columbia
1986,0,3.919,10.053,13.972,district of columbia
1987,0.001,4.344,11.59,15.935,district of columbia
1988,0.011,4.029,13.559,17.598,district of columbia
1989,0.018,3.496,14.292,17.806,district of columbia
1990,0.044,3.324,15.61,18.978,district of columbia
1991,0.079,3.39,15.662,19.13,district of columbia
1992,0,1.903,15.523,17.427,district of columbia
1993,0.253,1.483,13.785,15.521,district of columbia
1994,0.308,1.443,14.168,15.918,district of columbia
1995,0.252,1.8,14.952,17.005,district of columbia
1996,0.34,1.504,12.899,14.743,district of columbia
1997,0.209,1.429,13.703,15.341,district of columbia
1998,0.228,1.719,15.814,17.761,district of columbia
1999,0.054,1.68,13.174,14.908,district of columbia
2000,0.047,1.816,12.504,14.367,district of columbia
2001,0,1.602,13.243,14.845,district of columbia
2002,0,1.344,12.887,14.232,district of columbia
2003,0,1.399,12.604,14.003,district of columbia
2004,0.016,1.57,12.533,14.118,district of columbia
2005,0.038,1.537,12.653,14.228,district of columbia
2006,0.003,1.181,13.264,14.448,district of columbia
2007,0,1.369,13.709,15.078,district of columbia
2008,0,1.928,13.688,15.616,district of columbia
2009,0,2.082,13.501,15.583,district of columbia
2010,0,2.632,13.441,16.073,district of columbia
2011,0,2.386,13.31,15.696,district of columbia
2012,0,2.208,13.703,15.911,district of columbia
2013,0,2.069,13.874,15.943,district of columbia
2014,0,2.108,12.968,15.075,district of columbia
2015,0,5.645,12.971,18.616,district of columbia
2016,0,5.852,13.017,18.869,district of columbia
2017,0,5.927,13.041,18.968,district of columbia
1980,0.007,5.867,14.294,20.167,florida
1981,0.004,8.373,13.125,21.502,florida
1982,0.004,5.588,13.123,18.714,florida
1983,0.004,4.257,11.924,16.184,florida
1984,0.059,5.067,10.563,15.69,florida
1985,0.091,2.66,11.298,14.048,florida
1986,0,3.919,10.053,13.972,florida
1987,0.001,4.344,11.59,15.935,florida
1988,0.011,4.029,13.559,17.598,florida
1989,0.018,3.496,14.292,17.806,florida
1990,0.044,3.324,15.61,18.978,florida
1991,0.079,3.39,15.662,19.13,florida
1992,0,1.903,15.523,17.427,florida
1993,0.253,1.483,13.785,15.521,florida
1994,0.308,1.443,14.168,15.918,florida
1995,0.252,1.8,14.952,17.005,florida
1996,0.34,1.504,12.899,14.743,florida
1997,0.209,1.429,13.703,15.341,florida
1998,0.228,1.719,15.814,17.761,florida
1999,0.054,1.68,13.174,14.908,florida
2000,0.047,1.816,12.504,14.367,florida
2001,0,1.602,13.243,14.845,florida
2002,0,1.344,12.887,14.232,florida
2003,0,1.399,12.604,14.003,florida
2004,0.016,1.57,12.533,14.118,florida
2005,0.038,1.537,12.653,14.228,florida
2006,0.003,1.181,13.264,14.448,florida
2007,0,1.369,13.709,15.078,florida
2008,0,1.928,13.688,15.616,florida
2009,0,2.082,13.501,15.583,florida
2010,0,2.632,13.441,16.073,florida
2011,0,2.386,13.31,15.696,florida
2012,0,2.208,13.703,15.911,florida
2013,0,2.069,13.874,15.943,florida
2014,0,2.108,12.968,15.075,florida
2015,0,5.645,12.971,18.616,florida
2016,0,5.852,13.017,18.869,florida
2017,0,5.927,13.041,18.968,florida
1980,0.007,5.867,14.294,20.167,georgia
1981,0.004,8.373,13.125,21.502,georgia
1982,0.004,5.588,13.123,18.714,georgia
1983,0.004,4.257,11.924,16.184,georgia
1984,0.059,5.067,10.563,15.69,georgia
1985,0.091,2.66,11.298,14.048,georgia
1986,0,3.919,10.053,13.972,georgia
1987,0.001,4.344,11.59,15.935,georgia
1988,0.011,4.029,13.559,17.598,georgia
1989,0.018,3.496,14.292,17.806,georgia
1990,0.044,3.324,15.61,18.978,georgia
1991,0.079,3.39,15.662,19.13,georgia
1992,0,1.903,15.523,17.427,georgia
1993,0.253,1.483,13.785,15.521,georgia
1994,0.308,1.443,14.168,15.918,georgia
1995,0.252,1.8,14.952,17.005,georgia
1996,0.34,1.504,12.899,14.743,georgia
1997,0.209,1.429,13.703,15.341,georgia
1998,0.228,1.719,15.814,17.761,georgia
1999,0.054,1.68,13.174,14.908,georgia
2000,0.047,1.816,12.504,14.367,georgia
2001,0,1.602,13.243,14.845,georgia
2002,0,1.344,12.887,14.232,georgia
2003,0,1.399,12.604,14.003,georgia
2004,0.016,1.57,12.533,14.118,georgia
2005,0.038,1.537,12.653,14.228,georgia
2006,0.003,1.181,13.264,14.448,georgia
2007,0,1.369,13.709,15.078,georgia
2008,0,1.928,13.688,15.616,georgia
2009,0,2.082,13.501,15.583,georgia
2010,0,2.632,13.441,16.073,georgia
2011,0,2.386,13.31,15.696,georgia
2012,0,2.208,13.703,15.911,georgia
2013,0,2.069,13.874,15.943,georgia
2014,0,2.108,12.968,15.075,georgia
2015,0,5.645,12.971,18.616,georgia
2016,0,5.852,13.017,18.869,georgia
2017,0,5.927,13.041,18.968,georgia
1980,0.007,5.867,14.294,20.167,hawaii
1981,0.004,8.373,13.125,21.502,hawaii
1982,0.004,5.588,13.123,18.714,hawaii
1983,0.004,4.257,11.924,16.184,hawaii
1984,0.059,5.067,10.563,15.69,hawaii
1985,0.091,2.66,11.298,14.048,hawaii
1986,0,3.919,10.053,13.972,hawaii
1987,0.001,4.344,11.59,15.935,hawaii
1988,0.011,4.029,13.559,17.598,hawaii
1989,0.018,3.496,14.292,17.806,hawaii
1990,0.044,3.324,15.61,18.978,hawaii
1991,0.079,3.39,15.662,19.13,hawaii
1992,0,1.903,15.523,17.427,hawaii
1993,0.253,1.483,13.785,15.521,hawaii
1994,0.308,1.443,14.168,15.918,hawaii
1995,0.252,1.8,14.952,17.005,hawaii
1996,0.34,1.504,12.899,14.743,hawaii
1997,0.209,1.429,13.703,15.341,hawaii
1998,0.228,1.719,15.814,17.761,hawaii
1999,0.054,1.68,13.174,14.908,hawaii
2000,0.047,1.816,12.504,14.367,hawaii
2001,0,1.602,13.243,14.845,hawaii
2002,0,1.344,12.887,14.232,hawaii
2003,0,1.399,12.604,14.003,hawaii
2004,0.016,1.57,12.533,14.118,hawaii
2005,0.038,1.537,12.653,14.228,hawaii
2006,0.003,1.181,13.264,14.448,hawaii
2007,0,1.369,13.709,15.078,hawaii
2008,0,1.928,13.688,15.616,hawaii
2009,0,2.082,13.501,15.583,hawaii
2010,0,2.632,13.441,16.073,hawaii
2011,0,2.386,13.31,15.696,hawaii
2012,0,2.208,13.703,15.911,hawaii
2013,0,2.069,13.874,15.943,hawaii
2014,0,2.108,12.968,15.075,hawaii
2015,0,5.645,12.971,18.616,hawaii
2016,0,5.852,13.017,18.869,hawaii
2017,0,5.927,13.041,18.968,hawaii
1980,0.007,5.867,14.294,20.167,idaho
1981,0.004,8.373,13.125,21.502,idaho
1982,0.004,5.588,13.123,18.714,idaho
1983,0.004,4.257,11.924,16.184,idaho
1984,0.059,5.067,10.563,15.69,idaho
1985,0.091,2.66,11.298,14.048,idaho
1986,0,3.919,10.053,13.972,idaho
1987,0.001,4.344,11.59,15.935,idaho
1988,0.011,4.029,13.559,17.598,idaho
1989,0.018,3.496,14.292,17.806,idaho
1990,0.044,3.324,15.61,18.978,idaho
1991,0.079,3.39,15.662,19.13,idaho
1992,0,1.903,15.523,17.427,idaho
1993,0.253,1.483,13.785,15.521,idaho
1994,0.308,1.443,14.168,15.918,idaho
1995,0.252,1.8,14.952,17.005,idaho
1996,0.34,1.504,12.899,14.743,idaho
1997,0.209,1.429,13.703,15.341,idaho
1998,0.228,1.719,15.814,17.761,idaho
1999,0.054,1.68,13.174,14.908,idaho
2000,0.047,1.816,12.504,14.367,idaho
2001,0,1.602,13.243,14.845,idaho
2002,0,1.344,12.887,14.232,idaho
2003,0,1.399,12.604,14.003,idaho
2004,0.016,1.57,12.533,14.118,idaho
2005,0.038,1.537,12.653,14.228,idaho
2006,0.003,1.181,13.264,14.448,idaho
2007,0,1.369,13.709,15.078,idaho
2008,0,1.928,13.688,15.616,idaho
2009,0,2.082,13.501,15.583,idaho
2010,0,2.632,13.441,16.073,idaho
2011,0,2.386,13.31,15.696,idaho
2012,0,2.208,13.703,15.911,idaho
2013,0,2.069,13.874,15.943,idaho
2014,0,2.108,12.968,15.075,idaho
2015,0,5.645,12.971,18.616,idaho
2016,0,5.852,13.017,18.869,idaho
2017,0,5.927,13.041,18.968,idaho
1980,0.007,5.867,14.294,20.167,illinois
1981,0.004,8.373,13.125,21.502,illinois
1982,0.004,5.588,13.123,18.714,illinois
1983,0.004,4.257,11.924,16.184,illinois
1984,0.059,5.067,10.563,15.69,illinois
1985,0.091,2.66,11.298,14.048,illinois
1986,0,3.919,10.053,13.972,illinois
1987,0.001,4.344,11.59,15.935,illinois
1988,0.011,4.029,13.559,17.598,illinois
1989,0.018,3.496,14.292,17.806,illinois
1990,0.044,3.324,15.61,18.978,illinois
1991,0.079,3.39,15.662,19.13,illinois
1992,0,1.903,15.523,17.427,illinois
1993,0.253,1.483,13.785,15.521,illinois
1994,0.308,1.443,14.168,15.918,illinois
1995,0.252,1.8,14.952,17.005,illinois
1996,0.34,1.504,12.899,14.743,illinois
1997,0.209,1.429,13.703,15.341,illinois
1998,0.228,1.719,15.814,17.761,illinois
1999,0.054,1.68,13.174,14.908,illinois
2000,0.047,1.816,12.504,14.367,illinois
2001,0,1.602,13.243,14.845,illinois
2002,0,1.344,12.887,14.232,illinois
2003,0,1.399,12.604,14.003,illinois
2004,0.016,1.57,12.533,14.118,illinois
2005,0.038,1.537,12.653,14.228,illinois
2006,0.003,1.181,13.264,14.448,illinois
2007,0,1.369,13.709,15.078,illinois
2008,0,1.928,13.688,15.616,illinois
2009,0,2.082,13.501,15.583,illinois
2010,0,2.632,13.441,16.073,illinois
2011,0,2.386,13.31,15.696,illinois
2012,0,2.208,13.703,15.911,illinois
2013,0,2.069,13.874,15.943,illinois
2014,0,2.108,12.968,15.075,illinois
2015,0,5.645,12.971,18.616,illinois
2016,0,5.852,13.017,18.869,illinois
2017,0,5.927,13.041,18.968,illinois
1980,0.007,5.867,14.294,20.167,indiana
1981,0.004,8.373,13.125,21.502,indiana
1982,0.004,5.588,13.123,18.714,indiana
1983,0.004,4.257,11.924,16.184,indiana
1984,0.059,5.067,10.563,15.69,indiana
1985,0.091,2.66,11.298,14.048,indiana
1986,0,3.919,10.053,13.972,indiana
1987,0.001,4.344,11.59,15.935,indiana
1988,0.011,4.029,13.559,17.598,indiana
1989,0.018,3.496,14.292,17.806,indiana
1990,0.044,3.324,15.61,18.978,indiana
1991,0.079,3.39,15.662,19.13,indiana
1992,0,1.903,15.523,17.427,indiana
1993,0.253,1.483,13.785,15.521,indiana
1994,0.308,1.443,14.168,15.918,indiana
1995,0.252,1.8,14.952,17.005,indiana
1996,0.34,1.504,12.899,14.743,indiana
1997,0.209,1.429,13.703,15.341,indiana
1998,0.228,1.719,15.814,17.761,indiana
1999,0.054,1.68,13.174,14.908,indiana
2000,0.047,1.816,12.504,14.367,indiana
2001,0,1.602,13.243,14.845,indiana
2002,0,1.344,12.887,14.232,indiana
2003,0,1.399,12.604,14.003,indiana
2004,0.016,1.57,12.533,14.118,indiana
2005,0.038,1.537,12.653,14.228,indiana
2006,0.003,1.181,13.264,14.448,indiana
2007,0,1.369,13.709,15.078,indiana
2008,0,1.928,13.688,15.616,indiana
2009,0,2.082,13.501,15.583,indiana
2010,0,2.632,13.441,16.073,indiana
2011,0,2.386,13.31,15.696,indiana
2012,0,2.208,13.703,15.911,indiana
2013,0,2.069,13.874,15.943,indiana
2014,0,2.108,12.968,15.075,indiana
2015,0,5.645,12.971,18.616,indiana
2016,0,5.852,13.017,18.869,indiana
2017,0,5.927,13.041,18.968,indiana
1980,0.007,5.867,14.294,20.167,iowa
1981,0.004,8.373,13.125,21.502,iowa
1982,0.004,5.588,13.123,18.714,iowa
1983,0.004,4.257,11.924,16.184,iowa
1984,0.059,5.067,10.563,15.69,iowa
1985,0.091,2.66,11.298,14.048,iowa
1986,0,3.919,10.053,13.972,iowa
1987,0.001,4.344,11.59,15.935,iowa
1988,0.011,4.029,13.559,17.598,iowa
1989,0.018,3.496,14.292,17.806,iowa
1990,0.044,3.324,15.61,18.978,iowa
1991,0.079,3.39,15.662,19.13,iowa
1992,0,1.903,15.523,17.427,iowa
1993,0.253,1.483,13.785,15.521,iowa
1994,0.308,1.443,14.168,15.918,iowa
1995,0.252,1.8,14.952,17.005,iowa
1996,0.34,1.504,12.899,14.743,iowa
1997,0.209,1.429,13.703,15.341,iowa
1998,0.228,1.719,15.814,17.761,iowa
1999,0.054,1.68,13.174,14.908,iowa
2000,0.047,1.816,12.504,14.367,iowa
2001,0,1.602,13.243,14.845,iowa
2002,0,1.344,12.887,14.232,iowa
2003,0,1.399,12.604,14.003,iowa
2004,0.016,1.57,12.533,14.118,iowa
2005,0.038,1.537,12.653,14.228,iowa
2006,0.003,1.181,13.264,14.448,iowa
2007,0,1.369,13.709,15.078,iowa
2008,0,1.928,13.688,15.616,iowa
2009,0,2.082,13.501,15.583,iowa
2010,0,2.632,13.441,16.073,iowa
2011,0,2.386,13.31,15.696,iowa
2012,0,2.208,13.703,15.911,iowa
2013,0,2.069,13.874,15.943,iowa
2014,0,2.108,12.968,15.075,iowa
2015,0,5.645,12.971,18.616,iowa
2016,0,5.852,13.017,18.869,iowa
2017,0,5.927,13.041,18.968,iowa
1980,0.007,5.867,14.294,20.167,kansas
1981,0.004,8.373,13.125,21.502,kansas
1982,0.004,5.588,13.123,18.714,kansas
1983,0.004,4.257,11.924,16.184,kansas
1984,0.059,5.067,10.563,15.69,kansas
1985,0.091,2.66,11.298,14.048,kansas
1986,0,3.919,10.053,13.972,kansas
1987,0.001,4.344,11.59,15.935,kansas
1988,0.011,4.029,13.559,17.598,kansas
1989,0.018,3.496,14.292,17.806,kansas
1990,0.044,3.324,15.61,18.978,kansas
1991,0.079,3.39,15.662,19.13,kansas
1992,0,1.903,15.523,17.427,kansas
1993,0.253,1.483,13.785,15.521,kansas
1994,0.308,1.443,14.168,15.918,kansas
1995,0.252,1.8,14.952,17.005,kansas
1996,0.34,1.504,12.899,14.743,kansas
1997,0.209,1.429,13.703,15.341,kansas
